epoch,step,train_loss,val_loss,val_mae
0,49,1.280029535293579,,
0,74,,0.3336330056190491,0.3860088884830475
1,99,1.2868726253509521,,
1,149,1.054890513420105,,
1,149,,0.340889573097229,0.3934973478317261
2,199,0.47604548931121826,,
2,224,,0.3645879626274109,0.4187655448913574
3,249,1.2659881114959717,,
3,299,1.0819592475891113,,
3,299,,0.3297732174396515,0.38497450947761536
4,349,1.0045281648635864,,
4,374,,0.33971327543258667,0.3934352993965149
5,399,1.0506534576416016,,
5,449,0.7474575042724609,,
5,449,,0.33548757433891296,0.3926089107990265
6,499,1.6693334579467773,,
6,524,,0.33409297466278076,0.39061957597732544
7,549,0.5416507720947266,,
7,599,0.6652197241783142,,
7,599,,0.34260961413383484,0.40057849884033203
8,649,1.419675350189209,,
8,674,,0.33765673637390137,0.396526962518692
9,699,0.9641827940940857,,
9,749,0.8582374453544617,,
9,749,,0.33498620986938477,0.3904622197151184
10,799,1.2875218391418457,,
10,824,,0.3431013524532318,0.39965155720710754
11,849,0.6824569702148438,,
11,899,0.8181287050247192,,
11,899,,0.34134185314178467,0.3966282606124878
12,949,0.6208822131156921,,
12,974,,0.3434549570083618,0.3976428508758545
13,999,0.8138881921768188,,
13,1049,0.8207136988639832,,
13,1049,,0.35917437076568604,0.4129112660884857
14,1099,0.8318333029747009,,
14,1124,,0.3501538038253784,0.401414692401886
15,1149,1.3381104469299316,,
15,1199,0.595897376537323,,
15,1199,,0.3627568781375885,0.41090813279151917
16,1249,0.5889135599136353,,
16,1274,,0.3759264349937439,0.42178818583488464
17,1299,0.40782010555267334,,
17,1349,0.5865122675895691,,
17,1349,,0.372967928647995,0.41862523555755615
18,1399,0.5209290385246277,,
18,1424,,0.3943999409675598,0.43587517738342285
19,1449,0.6909686326980591,,
19,1499,0.693606436252594,,
19,1499,,0.4018086791038513,0.4396352171897888
20,1549,0.5016477108001709,,
20,1574,,0.3948921859264374,0.43325304985046387
21,1599,0.49521225690841675,,
21,1649,0.4246343672275543,,
21,1649,,0.399324506521225,0.4347744584083557
22,1699,0.3500358462333679,,
22,1724,,0.423525869846344,0.45231130719184875
23,1749,1.2826783657073975,,
23,1799,0.9971092939376831,,
23,1799,,0.40868401527404785,0.4402829706668854
24,1849,0.7130890488624573,,
24,1874,,0.4283561110496521,0.4542653560638428
25,1899,0.9160066843032837,,
25,1949,0.6934258937835693,,
25,1949,,0.4262954890727997,0.45166677236557007
26,1999,0.330524206161499,,
26,2024,,0.42828604578971863,0.4534885585308075
27,2049,0.4210805892944336,,
27,2099,0.547512948513031,,
27,2099,,0.4293401837348938,0.45445555448532104
28,2149,0.6547082662582397,,
28,2174,,0.4343251585960388,0.4577513337135315
29,2199,0.7356345653533936,,
29,2249,0.6894742250442505,,
29,2249,,0.4359230101108551,0.4581184983253479
30,2299,0.7239580750465393,,
30,2324,,0.441462904214859,0.4621160328388214
31,2349,0.7016265392303467,,
31,2399,0.9728056788444519,,
31,2399,,0.44465169310569763,0.4637475311756134
32,2449,0.5560024976730347,,
32,2474,,0.4525754451751709,0.46989986300468445
33,2499,0.6408079266548157,,
33,2549,0.7076170444488525,,
33,2549,,0.46006035804748535,0.47470781207084656
34,2599,0.40237465500831604,,
34,2624,,0.4597911238670349,0.47425591945648193
35,2649,0.5070204138755798,,
35,2699,0.2792527973651886,,
35,2699,,0.4578889310359955,0.47257471084594727
36,2749,0.582147479057312,,
36,2774,,0.4578416049480438,0.4723667800426483
37,2799,0.7670431733131409,,
37,2849,0.5756991505622864,,
37,2849,,0.45953845977783203,0.4738048017024994
38,2899,0.5098839998245239,,
38,2924,,0.4601879119873047,0.47385209798812866
39,2949,0.6693181395530701,,
39,2999,0.5418415069580078,,
39,2999,,0.4605470597743988,0.4744085371494293
40,3049,0.5695056319236755,,
40,3074,,0.46016281843185425,0.4740511178970337
41,3099,0.367869108915329,,
41,3149,0.6202877163887024,,
41,3149,,0.46199503540992737,0.4751149117946625
42,3199,0.500765323638916,,
42,3224,,0.4619613289833069,0.4751470386981964
43,3249,0.2764231264591217,,
43,3299,0.9530457854270935,,
43,3299,,0.46310392022132874,0.47597911953926086
44,3349,0.8852336406707764,,
44,3374,,0.4640251398086548,0.47655147314071655
45,3399,0.38549962639808655,,
45,3449,0.4630831182003021,,
45,3449,,0.4637603163719177,0.4762672185897827
46,3499,0.3730590045452118,,
46,3524,,0.4637727737426758,0.47629299759864807
47,3549,0.6798336505889893,,
47,3599,0.7307403087615967,,
47,3599,,0.4640856981277466,0.47639381885528564
48,3649,0.3576394319534302,,
48,3674,,0.4640181362628937,0.4763677716255188
49,3699,0.9141514301300049,,
49,3749,0.3764756917953491,,
49,3749,,0.46530476212501526,0.4773426949977875
50,3799,0.42969685792922974,,
50,3824,,0.4649147689342499,0.47693932056427
51,3849,0.4651019871234894,,
51,3899,0.3932337164878845,,
51,3899,,0.4653218686580658,0.47718507051467896
52,3949,0.8517366647720337,,
52,3974,,0.46574220061302185,0.47750914096832275
53,3999,0.3957960605621338,,
53,4049,0.7413212060928345,,
53,4049,,0.4657730460166931,0.47748202085494995
54,4099,0.6604416370391846,,
54,4124,,0.4663424789905548,0.4779316782951355
55,4149,0.4824545979499817,,
55,4199,0.2503722608089447,,
55,4199,,0.46637722849845886,0.47798094153404236
56,4249,0.3288380801677704,,
56,4274,,0.46624723076820374,0.4778521656990051
57,4299,0.6793832182884216,,
57,4349,1.0917046070098877,,
57,4349,,0.466495156288147,0.478044331073761
58,4399,0.49476730823516846,,
58,4424,,0.4665665328502655,0.478104829788208
59,4449,0.4040684103965759,,
59,4499,0.856766939163208,,
59,4499,,0.46648168563842773,0.47800958156585693
60,4549,0.6758550405502319,,
60,4574,,0.4667357802391052,0.4782065749168396
61,4599,0.31195685267448425,,
61,4649,0.6375893354415894,,
61,4649,,0.4668028950691223,0.47824451327323914
62,4699,0.5520343780517578,,
62,4724,,0.4668802320957184,0.4783107042312622
63,4749,0.42289048433303833,,
63,4799,0.7632021307945251,,
63,4799,,0.46698835492134094,0.47841477394104004
64,4849,0.3266548216342926,,
64,4874,,0.46696630120277405,0.47839176654815674
65,4899,0.7495023012161255,,
65,4949,1.07695734500885,,
65,4949,,0.46701136231422424,0.47842517495155334
66,4999,0.6261085867881775,,
66,5024,,0.4670528173446655,0.4784638285636902
67,5049,0.6814147233963013,,
67,5099,0.5235106945037842,,
67,5099,,0.4670933187007904,0.47849029302597046
68,5149,0.3599511384963989,,
68,5174,,0.46713757514953613,0.47852346301078796
69,5199,0.11590007692575455,,
69,5249,0.6952794194221497,,
69,5249,,0.46720629930496216,0.4785694181919098
70,5299,0.666336178779602,,
70,5324,,0.467277467250824,0.47862616181373596
71,5349,0.47230976819992065,,
71,5399,0.6384629011154175,,
71,5399,,0.46736299991607666,0.4786929488182068
72,5449,0.36345720291137695,,
72,5474,,0.467353880405426,0.4786856472492218
73,5499,0.372408390045166,,
73,5549,1.0331387519836426,,
73,5549,,0.46735426783561707,0.4786830544471741
74,5599,0.786731481552124,,
74,5624,,0.4673665165901184,0.4786868989467621
75,5649,0.4596893787384033,,
75,5699,0.6999529600143433,,
75,5699,,0.46739432215690613,0.47871431708335876
76,5749,0.5206928253173828,,
76,5774,,0.4673994481563568,0.47871965169906616
77,5799,0.472511887550354,,
77,5849,0.2438933104276657,,
77,5849,,0.4674091339111328,0.4787260591983795
78,5899,0.4486376643180847,,
78,5924,,0.467413067817688,0.47872477769851685
79,5949,0.6182553768157959,,
79,5999,0.31224325299263,,
79,5999,,0.4674091339111328,0.47872021794319153
80,6049,0.5369541049003601,,
80,6074,,0.46739834547042847,0.47871071100234985
81,6099,0.433951735496521,,
81,6149,0.30250084400177,,
81,6149,,0.4673961102962494,0.4787072539329529
82,6199,0.36695948243141174,,
82,6224,,0.4673962891101837,0.4787079393863678
83,6249,0.8575723171234131,,
83,6299,0.5592107176780701,,
83,6299,,0.46740445494651794,0.4787154793739319
84,6349,0.4149066209793091,,
84,6374,,0.4674115478992462,0.47871890664100647
85,6399,0.5559752583503723,,
85,6449,0.219340980052948,,
85,6449,,0.46741771697998047,0.47872504591941833
86,6499,0.9067587852478027,,
86,6524,,0.4674259126186371,0.47873157262802124
87,6549,0.9277357459068298,,
87,6599,0.6023775935173035,,
87,6599,,0.46742644906044006,0.4787326753139496
88,6649,0.6298321485519409,,
88,6674,,0.46742767095565796,0.47873345017433167
89,6699,0.42250150442123413,,
89,6749,0.27051809430122375,,
89,6749,,0.467436820268631,0.4787408709526062
90,6799,0.43540048599243164,,
90,6824,,0.46743136644363403,0.47873666882514954
91,6849,0.7492733597755432,,
91,6899,0.5444420576095581,,
91,6899,,0.4674361050128937,0.47874027490615845
92,6949,0.4414407014846802,,
92,6974,,0.4674314558506012,0.4787372648715973
93,6999,0.8241599798202515,,
93,7049,0.5614785552024841,,
93,7049,,0.46743953227996826,0.47874322533607483
94,7099,0.6882014274597168,,
94,7124,,0.4674397110939026,0.47874340415000916
95,7149,1.0004618167877197,,
95,7199,0.9364413022994995,,
95,7199,,0.4674355983734131,0.47874000668525696
96,7249,0.3958401381969452,,
96,7274,,0.46743491291999817,0.4787394404411316
97,7299,0.6370939612388611,,
97,7349,0.6792294383049011,,
97,7349,,0.46743297576904297,0.47873803973197937
98,7399,0.6113507151603699,,
98,7424,,0.4674326479434967,0.47873732447624207
99,7449,0.4656480550765991,,
99,7499,0.8434557914733887,,
99,7499,,0.46743541955947876,0.47873958945274353
